id,name
0,Abbreviation
100,Glycerine(EP)
101,Sorbitol(EP)
103,Iodine(EP)
106,정제수(BP)
200,Solvent
201,Vegetable grain oil
203,Essential Oil Extracts
206,Neem oil
210,PVP
215,Laureth-9
221,Tocopheryl Acetate
228,Bisabolol
300,Water (Aqua)
301,Boric acid
303,Propylene glycol
306,Glycerine
310,Polysorbate 20
315,Acetic acid
321,Trolamine NF
328,Hydrocortisone
336,Peach Fragrance
400,Purified water
401,Simethicone
403,Dimethicone Copolyol
406,Cyclomethicone
410,Emulsifiers
415,DMDM Hydantoin
500,Deionized water
501,Sodium lauryl sulfate
503,Sodium Laureth Sulfate
506,Disodium Cocoamphodiacetate
510,Cocamide DEA
515,Propylene glycol
521,Chloroxylenol
528,Hydrolyzed Animal protein
536,Trisodium EDTA
545,Citric acid
555,DMDM Hydantoin
566,Fragrance
578,색소
591,Fat
600,정제수
601,Octyldodecyl Myriatate
603,Carbomer
606,Glycerine
610,Propylene glycol
615,Triethanolamine
621,DMDM Hydantoin
628,Fragrance
636,FD C red
700,Deionized water
701,Ammonium Lauryl Sulf
703,Cocamidopropyl Betaine
706,Cocamide DEA
710,Propylene
715,Glycerine
721,DMDM Hydantoin
728,Fragrance
736,Citric acid
800,Water (Aqua)
801,Cherry bark extract
803,Lemon Grass Extract
806,Chamomile extract
810,Lavender
815,Rosemary Extract
821,Cetearyl alcohol
828,Behentrimonium metho-sulfate
836,Colza oil
845,Evening primrose oil
855,Rose hips
866,Mango(Mangifera Indica) Fruit Extract)
878,Stearmmine oxide
891,Cyclomethicone
905,Dimethicone
920,Dimethiconol
936,PEG
953,Cocoamonium chloride
971,Polymethodzy bicyclic oxazolidine
990,Propylene glycol
1010,Citric acid
1031,Fragrance
1053,FD C blue
1076,EXT.VIOLET2
900,Panthenol
901,Lanoline
903,Hydro-Fluorocarbon 152A
906,SDA-40
910,Isobutane
915,Butyl Ester of PVM/MA Copolymer
921,Octyl Methoxycinnamate
928,Lactamide MEA
936,Linoleamidopropyl ethyldimonium ethosulfate
945,Dimethyl lauramide isostearate
955,Aminomethyl propanol
966,Octylacrylamide
978,Acrylates
991,Butylaminoethyl methacrylate copolymer
1005,Dimethyl Stearamine
1020,Fragrance
1000,정제수
1001,Sodium lauryl sulfate
1003,Ethylalcohol
1006,Citric acid
1010,DMDM Hydantoin
1100,Deionized water
1101,Citric acid
1103,Oleth-10
1106,Oleth-20
1110,Fragrance
1115,DMDM Hydantoin
1121,D C red
1200,Deionized water
1201,Mineral oil
1203,PEG-400 Dioleate
1206,Isopropyl myristate
1210,Evening primrose infusion
1215,Olive oil
1221,Unsaponifables
1228,Lanolin Oil
1236,Fragrance
1245,Propyl paraben
1300,Deionized water
1301,Isobutane
1303,SDA-40
1306,Trichloroethane
1310,C12-15 Alcohols benzoate
1315,Isopropyl myristate
1321,Lanolin Oil
1328,AMP Isostearoxyl hydrolized protein
1336,Mink oil
1345,Fragrance
1400,Deionized water
1401,Meleleuca oil
1403,Isopropyl Alcohol
1406,Nonoxynol-10
1410,PPG-12-PEG-65 Lanolin oil
1415,Cocodimonium hydroxpropyl hydrolyzed collagen
1421,Oleth-20
1428,Polysorbate 20
1436,Quaternium-15
1445,Methyl paraben
1455,Propyl paraben
1466,Denatonium benzoate
1500,Deionized water
1501,Lanoline
1600,Deionized water
1601,Steralkonium chloride
1603,Cetyl Alcohol
1606,Stearyl alcohol
1610,PEG-100 Stearate
1615,Dicetyidimonium Chloride
1621,Propylene glycol
1628,Hydrolyzed vegetable protein
1636,Triethanolamine
1645,Methyl paraben
1655,Propyl paraben
1666,Fragrance
1678,Citric acid
1700,Deionized water
1701,Sodium Laureth Sulfate
1703,Cocamide DEA
1706,Lauramide DEA
1710,Cocodimonium hydroxypropyl hydrolyzed wheat protein
1715,Hydrolyzed collagen
1721,Benzophenone-3
1728,PPG-12-PEG-50 Lanolin
1736,Fragrance
1745,Methyl paraben
1755,Propyl paraben
1766,Citric acid
1778,Sodium chloride
1791,색소
1800,Purified water
1801,Sodium olefin sulfonate
1803,Sodium Laureth Sulfate
1806,Lauramide DEA
1810,Sodium chloride
1815,PEG-150 distearate
1821,Colloidal Oatmeal
1828,Linoleamidopropyl PG demonium chloride
1836,Propylene glycol
1845,Tetrasodium EDTA
1855,Citric acid
1866,Fragrance
1878,Polymethodzy bicyclic oxazolidine
1900,정제수
1901,Sodium carbonate peroxyhydrate
1903,Glycerine
1906,Carboxylmethylcellulosesodium
1910,Triethanolamine
1915,Cetrimomium Chloride
1921,Methylchloroisothiazolinon
1928,Methylisothiazolinone
2000,정제수
2001,Sodium Laureth Sulfate
2003,Cocamidopropyl Betaine
2006,Cocamide DEA
2010,Octyldodecyl Myriatate
2015,Glycerine
2021,Fragrance
2100,정제수
2101,Ammonium Lauryl Sulf
2103,Lauramidopropyl betaine
2106,Lauramide DEA
2110,Lauryl Glucoside
2115,Vitamin E-acetate
2121,Citric acid
2128,Hydroxypropylmethylcellulse
2136,Erythorbic acid
2145,Sage extract
2155,Eucalyptus Globulus Leaf Oil
2166,Rosemary essential oil
2178,Glycerine
2191,Butyl paraben
2205,Fragrance
2220,FD C yellow
2200,Deionized water
2201,Emulsifying wax
2203,Behentrimonium metho-sulfate
